허가구역명,장소유형,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,푸드트럭운영대수,허가구역사용료,허가구역운영시작일자,허가구역운영종료일자,허가구역휴무일,허가구역평일운영시작시각,허가구역평일운영종료시각,허가구역주말운영시작시각,허가구역주말운영종료시각,1월운영시작시각,1월운영종료시각,2월운영시작시각,2월운영종료시각,3월운영시작시각,3월운영종료시각,4월운영시작시각,4월운영종료시각,5월운영시작시각,5월운영종료시각,6월운영시작시각,6월운영종료시각,7월운영시작시각,7월운영종료시각,8월운영시작시각,8월운영종료시각,9월운영시작시각,9월운영종료시각,10월운영시작시각,10월운영종료시각,11월운영시작시각,11월운영종료시각,12월운영시작시각,12월운영종료시각,판매제한품목,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
강화군 화도면,8,인천광역시,강화군,,인천광역시 강화군 화도면 사기리 301-2,37.61059258,126.457179,1,200000,2019-09-06,2021-08-31,연중무휴,08:00,21:00,08:00,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,강화군,032-930-3833,2021-03-10,3570000,인천광역시 강화군
교동면 난정저수지,8,인천광역시,강화군,,인천광역시 강화군 교동면 난정리 743-5,37.77623225,126.2302965,1,0,2020-10-15,2021-08-31,연중무휴,08:00,21:00,08:00,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,강화군,032-930-3833,2021-03-10,3570000,인천광역시 강화군
수성랜드,1,대구광역시,수성구,대구광역시 수성구 용학로 35-5(상동),대구광역시 수성구 상동 725,35.8268314197,128.6128425503,1,0,2017-09-18,2018-12-31,토요일+일요일,00:00,24:00,00:00,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 수성구 식품위생과,053-666-2765,2020-07-02,3460000,대구광역시 수성구
진포해양테마공원 내,08,전라북도,군산시,,전라북도 군산시 장미동 1-71,35.989698,126.714672,4,"월 117,630원",2018-05-04,2021-05-03,월요일+화요일+수요일,16:00,22:00,16:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,군산시,063-454-3425,2020-10-19,4670000,전라북도 군산시
옥도면 장자도리,08,전라북도,군산시,,전라북도 군산시 옥도면 장자도리 17,35.812323,126.397210,5,0,2018-12-18,2021-03-31,연중무휴,09:00,22:00,09:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,군산시,063-454-3425,2020-10-19,4670000,전라북도 군산시
서룡공원(서룡A),5,경상남도,양산시,,경상남도 양산시 원동면 서룡리 586-3,35.337534,128.956092,1,공시지가(원) × 면적 × 1(년) × 0.015,2016-04-04,2020-12-31,연중무휴,09:00,19:00,09:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,양산시,055-392-2824,2020-09-28,5380000,경상남도 양산시
푸드트럭존,99,서울특별시,서초구,서울특별시 서초구 강남대로 399,서울특별시 서초구 서초동 1318-8,37.4982667167,127.026867,17,1747900,2017-01-01,2017-12-31,연중무휴,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,,서초구,02-2155-6950,2020-10-12,3210000,서울특별시 서초구
성모병원사거리,99,서울특별시,서초구,서울특별시 서초구 반포대로 222,서울특별시 서초구 반포동 123,37.5023936158,127.0058606043,1,344300,2017-01-01,2017-12-31,연중무휴,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,,서초구,02-2155-6950,2020-10-12,3210000,서울특별시 서초구
양재역 1번,99,서울특별시,서초구,서울특별시 서초구 남부순환로 2583,서울특별시 서초구 서초동 1366-12,37.4847921379,127.0329481996,1,924000,2017-01-01,2017-12-31,연중무휴,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,,서초구,02-2155-6950,2020-10-12,3210000,서울특별시 서초구
양재역 5번,99,서울특별시,서초구,서울특별시 서초구 남부순환로350길 4,서울특별시 서초구 양재동 12-3,37.4843381074,127.035167,2,1007600,2017-01-01,2017-12-31,연중무휴,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,,서초구,02-2155-6950,2020-10-12,3210000,서울특별시 서초구
신사역,99,서울특별시,서초구,서울특별시 서초구 동산로 2,서울특별시 서초구 양재동 327,37.4687628545,127.040373,1,665940,2017-01-01,2017-12-31,연중무휴,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,,서초구,02-2155-6950,2020-10-12,3210000,서울특별시 서초구
금강제화,99,서울특별시,서초구,서울특별시 서초구 강남대로69길 8,서울특별시 서초구 서초동 1309-8,37.5018444583,127.0246533520,1,908600,2017-01-01,2017-12-31,연중무휴,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,,서초구,02-2155-6950,2020-10-12,3210000,서울특별시 서초구
반포쇼핑타운4동,99,서울특별시,서초구,서울특별시 서초구 신반포로 189,서울특별시 서초구 잠원동 69-2,37.5065454038,127.004826,2,550000,2017-01-01,2017-12-31,연중무휴,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,,서초구,02-2155-6950,2020-10-12,3210000,서울특별시 서초구
남부터미널,99,서울특별시,서초구,서울특별시 서초구 효령로 292,서울특별시 서초구 서초동 1446-1,37.4835466074,127.0151108866,1,473000,2017-01-01,2017-12-31,연중무휴,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,,서초구,02-2155-6950,2020-10-12,3210000,서울특별시 서초구
금산군푸드트럭존,99,충청남도,금산군,충청남도 금산군 금산읍 금산로 1559,충청남도 금산군 금산읍 중도리 203-1,36.11206754,127.4916373,1,"년 618,700원",2017-03-17,2025-05-10,연중무휴,10:00,20:00,10:00,20:00,13:00,17:00,13:00,17:00,13:00,17:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,13:00,17:00,13:00,17:00,,금산군,041-750-4454,2020-08-03,4550000,충청남도 금산군
우포늪생태공원,2,경상남도,창녕군,,경상남도 창녕군 유어면 세진리 251-1,35.544126,128.417684,1,0,2020-01-01,2020-12-31,없음,09:00,22:00,09:00,22:00,09:00,20:00,09:00,20:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,20:00,허가품목 외,창녕군청,055-530-1094,2020-07-17,5410000,경상남도 창녕군
남지읍수변생태공원,5,경상남도,창녕군,,경상남도 창녕군 남지읍 남지리 835-16,35.384883,128.474111,3,0,2020-01-01,2020-12-31,없음,09:00,22:00,09:00,22:00,09:00,20:00,09:00,20:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,20:00,허가품목 외,창녕군청,055-530-1094,2020-07-17,5410000,경상남도 창녕군
낙동강하천공원주차장,5,경상남도,창녕군,,경상남도 창녕군 남지읍 용산리 160-2,35.394693,128.440563,1,0,2020-01-01,2020-12-31,없음,09:00,22:00,09:00,22:00,09:00,20:00,09:00,20:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,20:00,허가품목 외,창녕군청,055-530-1094,2020-07-17,5410000,경상남도 창녕군
남조로 사려니숲길입구,99,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 표선면 가시리 산 158-4,,,1,0,2019-04-23,2021-04-05,연중무휴,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,위생관리과,064-760-2423,2020-07-01,6520000,제주특별자치도 서귀포시
구)탐라대교차로,99,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 하원동 산 76-1,,,1,16000원,2019-03-12,2021-02-28,연중무휴,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,위생관리과,064-760-2423,2020-07-01,6520000,제주특별자치도 서귀포시
부산대학교내 장승터,6,부산광역시,금정구,부산광역시 금정구 부산대학로 63번길 2,부산광역시 금정구 장전동 40,35.23224315,129.0838247,1,0,2018-04-30,2018-05-04,토요일+일요일+공휴일,11:00,15:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,11:00,15:00,11:00,15:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,,부산광역시 금정구청,051-519-4414,2020-10-23,3350000,부산광역시 금정구
금양초등학교,6,부산광역시,금정구,부산광역시 금정구 중앙대로 1755,부산광역시 금정구 부곡동 63-27,35.24123566,129.0920249,1,0,2018-08-04,2018-08-05,평일,00:00,00:00,10:00,18:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,10:00,18:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,,부산광역시 금정구청,051-519-4414,2020-10-23,3350000,부산광역시 금정구
부산가톨릭대학교 로사리오광장,6,부산광역시,금정구,"부산광역시 금정구 오륜대로 57, 부산가톨릭대학교 로사리오광장 (부곡동)",부산광역시 금정구 부곡동 9,35.24467702,129.0968719,1,0,2019-09-25,2019-09-25,평일,00:00,00:00,10:00,18:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,10:00,18:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,,부산광역시 금정구청,051-519-4414,2020-10-23,3350000,부산광역시 금정구
홍예공원,4,충청남도,홍성군,충청남도 홍성군 홍북읍 홍예공원로 38,충청남도 홍성군 홍북읍 신경리 886,36.65456294,126.6655067,1,"연94,000원",2018-01-01,2020-12-31,연중무휴,00:00,24:00,00:00,24:00,00:00,24:00,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,,홍성군,041-630-9632,2020-07-13,4600000,충청남도 홍성군
체육공원,4,충청남도,홍성군,,충청남도 홍성군 홍북읍 신경리 1557,36.64824648,126.6663169,1,"연94,000원",2018-01-01,2020-12-31,연중무휴,00:00,24:00,00:00,24:00,00:00,24:00,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,,홍성군,041-630-9632,2020-07-13,4600000,충청남도 홍성군
빨간카페,8,전라남도,여수시,,전라남도 여수시 화정면 조발리 산23번지 도로,34.631985,127.563179,1,0,2020-08-08,2020-12-31,월요일+화요일,10:00,19:00,10:00,19:00,,,,,,,,,,,,,,,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,,여수시,061-659-4239,2020-08-07,4810000,전라남도 여수시
가야진사공원(원동A),5,경상남도,양산시,,경상남도 양산시 원동면 용당리 566,35.368395,128.904522,1,공시지가(원) × 면적 × 1(년) × 0.015,2016-03-22,2020-12-31,연중무휴,09:00,19:00,09:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,양산시,055-392-2824,2020-09-28,5380000,경상남도 양산시
서룡공원(서룡B),5,경상남도,양산시,,경상남도 양산시 원동면 서룡리 586-3,35.337534,128.956092,1,공시지가(원) × 면적 × 1(년) × 0.015,2016-03-25,2020-12-31,연중무휴,09:00,19:00,09:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,양산시,055-392-2824,2020-09-28,5380000,경상남도 양산시
황산공원(황산A),5,경상남도,양산시,,경상남도 양산시 물금읍 물금리 640-12,35.310435,128.978124,1,공시지가(원) × 면적 × 1(년) × 0.015,2016-04-22,2020-12-31,연중무휴,09:00,19:00,09:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,양산시,055-392-2824,2020-09-28,5380000,경상남도 양산시
황산공원(황산B),5,경상남도,양산시,,경상남도 양산시 물금읍 물금리 214,35.298295,128.989648,1,공시지가(원) × 면적 × 1(년) × 0.015,2016-04-21,2020-12-31,연중무휴,09:00,19:00,09:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,양산시,055-392-2824,2020-09-28,5380000,경상남도 양산시
황산공원(황산C),5,경상남도,양산시,경상남도 양산시 물금읍 낙동로 295-19,경상남도 양산시 물금읍 물금리 171-4,35.3017308251,128.9895949139,1,공시지가(원) × 면적 × 1(년) × 0.015,2016-04-29,2020-12-31,연중무휴,09:00,19:00,09:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,양산시,055-392-2824,2020-09-28,5380000,경상남도 양산시
황산공원(황산D)),5,경상남도,양산시,,경상남도 양산시 물금읍 증산리 1088-1,35.291672663,129.000544126,1,공시지가(원) × 면적 × 1(년) × 0.015,2016-04-25,2020-12-31,연중무휴,09:00,19:00,09:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,양산시,055-392-2824,2020-09-28,5380000,경상남도 양산시
가산공원,5,경상남도,양산시,,경상남도 양산시 동면 가산리 759,35.294371,,1,공시지가(원) × 면적 × 1(년) × 0.015,2019-01-01,2020-12-31,연중무휴,09:00,19:00,09:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,양산시,055-392-2824,2020-09-28,5380000,경상남도 양산시
부천종합운동장,3,경기도,부천시,경기도 부천시 소사로 482,,37.50256698,126.7990239,1,"연 341,000원",2019-11-01,2022-10-31,연중무휴,10:00,19:00,10:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,부천도시공사,032-340-0871,2020-10-22,3860000,경기도 부천시
소사국민체육센터,3,경기도,부천시,경기도 부천시 소사로 108,,37.46843935,126.7983828,1,"연 1,365,650원",2019-04-01,2022-03-31,연중무휴,10:00,19:00,10:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,부천도시공사,032-340-5324,2020-10-22,3860000,경기도 부천시
남해유배문학관,8,경상남도,남해군,경상남도 남해군 남해읍 남해대로 2745,경상남도 남해군 남해읍 남변리 555,34.83195528,127.8991855,1,년 93550원,2017-06-07,2021-06-06,연중무휴,10:00,18:00,10:00,18:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,주류,남해군,055-860-3242,2021-03-29,5430000,경상남도 남해군
창선교 밑,8,경상남도,남해군,,경상남도 남해군 삼동면 지족리 291-11,34.83255476,128.000043,1,0,2019-09-03,2021-09-02,연중무휴,10:00,18:00,10:00,18:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,주류,남해군,055-860-3243,2021-03-29,5430000,경상남도 남해군
경상남도수산기술사업소 남해사무소,8,경상남도,남해군,,경상남도 남해군 삼동면 금송리 1342-32,34.82976877,128.0082644,,0,2020-01-01,2021-12-31,연중무휴,10:00,18:00,10:00,18:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,주류,남해군,055-860-3244,2021-03-29,5430000,경상남도 남해군
팜랜드,1,경기도,안성시,경기도 안성시 공도읍 대신두길 28,경기도 안성시 공도읍 신두리 451,36.9920809,127.1944227,1,-,2015-05-29,2025-05-28,-,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,-,농업협동조합중앙회,031-8053-7952,2021-03-15,4080000,경기도 안성시
구석기,2,경기도,연천군,,경기도 연천군 전곡읍 전곡리 189,38.01564928,127.0614528,1,0,2015-11-12,2020-10-13,없음,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,술,연천군청,031-839-2232,2021-01-20,4140000,경기도 연천군
쉬림프 파파,2,경기도,연천군,,경기도 연천군 전곡읍 전곡리 705-2,38.00737481,127.0621336,1,0,2017-07-27,2017-08-05,없음,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,술,연천군청,031-839-2232,2021-01-20,4140000,경기도 연천군
뉴욕커 핫도그,2,경기도,연천군,"경기도 연천군 전곡읍 선사로 123, 한탄강 세계 캠핑 축제",경기도 연천군 전곡읍 전곡리 705-2,38.0073748068,127.0621335920,1,0,2017-07-27,2017-08-05,없음,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,술,연천군청,031-839-2232,2021-01-20,4140000,경기도 연천군
로하스 캠핑테리아,99,경기도,연천군,경기도 연천군 전곡읍 은전로 45 (젼곡읍사무소 정문 인근),경기도 연천군 전곡읍 은대리 573,38.0280944,127.0637091,1,0,2017-08-30,2022-08-31,없음,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,술,연천군청,031-839-2232,2021-01-20,4140000,경기도 연천군
부산시청 푸드트럭존,8,부산광역시,연제구,부산광역시 연제구 중앙대로 1001,부산광역시 연제구 연산동 1000,35.17992599,129.0750952,3,0,2017-12-22,2018-12-22,연중무휴,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,연제구청,051-665-4411,2021-01-13,3370000,부산광역시 연제구
아시아드주경기장,8,부산광역시,연제구,부산광역시 연제구 월드컵대로 344,부산광역시 연제구 거제동 1299,35.19008744,129.058356,7,0,2017-11-23,2018-10-31,연중무휴,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,연제구청,051-665-4411,2021-01-13,3370000,부산광역시 연제구
사랑을 볶는 카페,4,경상남도,사천시,경상남도 사천시 용현면 석양길 500,,35.0093764339,128.0472845779,1,0,2016-09-22,2099-12-31,공휴일,09:00,20:00,09:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,경상남도 사천시청,055-831-3615,2021-01-14,5340000,경상남도 사천시
뉴욕타이거푸드카페,4,경상남도,사천시,"경상남도 사천시 사천대로 17 (대방동, 삼천포대교공원)",,34.9322941876,128.0523348304,1,0,2016-10-14,2099-12-31,공휴일,09:00,20:00,09:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,경상남도 사천시청,055-831-3615,2021-01-14,5340000,경상남도 사천시
우리가족,4,경상남도,사천시,"경상남도 사천시 사천대로 17 (대방동, 삼천포대교공원)",,34.9322941876,128.0523348304,1,0,2016-10-14,2099-12-31,공휴일,09:00,20:00,09:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,경상남도 사천시청,055-831-3615,2021-01-14,5340000,경상남도 사천시
사천대교왕씨앗호떡,4,경상남도,사천시,,경상남도 사천시 서포면 자혜리 산 23-20,,,1,0,2017-06-05,2099-12-31,공휴일,09:00,20:00,09:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,경상남도 사천시청,055-831-3615,2021-01-14,5340000,경상남도 사천시
누누토스트,7,경상남도,사천시,,경상남도 사천시 곤양면 맥사리 165-7,,,1,0,2020-01-06,2099-12-31,공휴일,09:00,20:00,09:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,경상남도 사천시청,055-831-3615,2021-01-14,5340000,경상남도 사천시
구좌 해안도로,8,제주특별자치도,제주시,,제주특별자치도 제주시 구좌읍 종달리 724,33.487252,126.902478,1,11000000원/년,2017-07-24,2022-05-15,연중무휴,09:00,18:00,09:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,제주시 위생관리과,064-728-2623,2020-06-30,6510000,제주특별자치도 제주시
수목원테마파크,2,제주특별자치도,제주시,제주특별자치도 제주시 은수길 69 (연동),제주특별자치도 제주시 연동 1320,33.4706503551,126.4882177580,18,0,2020-01-01,2020-12-31,연중무휴,19:00,22:00,19:00,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,제주시 위생관리과,064-728-2623,2020-06-30,6510000,제주특별자치도 제주시
